symbol,market_cap_cr
BANDHANBNK,32567.9
ESCORTS,32425.1
GUJGASLTD,32359.6
SCHNEIDER,32252.7
DALBHARAT,32238.7
ANANDRATHI,32177.1
NUVAMA,32125.1
WOCKPHARMA,31929.7
KIMS,31771.0
GRSE,31158.1
CHOLAHLDNG,31092.2
ANGELONE,30642.9
NIACL,30352.9
LICHSGFIN,30292.0
HEXT,30241.3
TATATECH,30210.3
STLTECH,29941.8
MANAPPURAM,29936.6
CRISIL,29910.2
ZFCVINDIA,29691.9
PGHH,29175.7
CENTRALBK,29163.6
ITI,29005.9
GODIGIT,28930.2
NBCC,28890.0
IKS,28534.0
SJVN,28365.3
LALPATHLAB,28235.9
NETWEB,28197.0
RRKABEL,28162.1
METROBRAND,28075.0
KARURVYSYA,28031.9
JUBLFOOD,27872.2
SYRMA,27660.9
CDSL,27525.3
TIMKEN,27507.5
TVSHLTD,27315.4
APOLLOTYRE,27239.0
MSUMI,27209.7
PNBHOUSING,27208.2
ACUTAAS,26976.5
AMBER,26948.1
MRPL,26865.6
SHYAMMETL,26303.3
PTCIL,26139.5
AEGISVOPAK,25925.9
SAILIFE,25858.6
IRB,25532.9
ACMESOLAR,25278.2
DATAPATTNS,25215.2
GILLETTE,25115.1
TATAELXSI,25103.2
ACC,25079.0
CUPID,24607.3
MTARTECH,24546.2
GRINDWELL,24303.0
FORCEMOT,24243.0
CRAFTSMAN,24198.1
IGL,23825.2
KIOCL,23823.8
KPIL,23582.0
AWL,23513.1
EMMVEE,23366.6
CREDITACC,23339.0
RUBICON,23312.2
NEULANDLAB,23052.7
ASAHIINDIA,23017.4
HBLENGINE,22893.5
AADHARHFC,22649.7
REDINGTON,22281.4
CESC,22259.0
PPLPHARMA,22218.0
DEEPAKNTR,22068.4
BELRISE,21890.1
KAYNES,21860.0
SUMICHEM,21715.3
CARBORUNIV,21687.7
RAMCOCEM,21668.0
GABRIEL,21657.5
IIFL,21648.4
GESHIP,21415.1
TRITURBINE,21171.8
ASTRAZEN,21100.0
CEMPRO,20939.2
CGCL,20926.8
IFCI,20722.0
HATSUN,20427.1
EIHOTEL,20418.1
PFIZER,20403.5
AFFLE,20349.3
ERIS,20228.3
SUNTV,20220.5
KPITTECH,20101.3
CAMS,19881.2
DEEPAKFERT,19839.4
CUB,19825.7
ATUL,19752.5
SANSERA,19663.4
TDPOWERSYS,19606.7
SUNDRMFAST,19490.5
SAMMAANCAP,19470.2
KAJARIACER,19080.8
ELGIEQUIP,19029.6
CAPLIPOINT,19027.2
URBANCO,19005.4
TATACHEM,18979.3
GRANULES,18956.5
SAGILITY,18912.6
BAYERCROP,18829.4
CHAMBLFERT,18796.6
ANANTRAJ,18762.2
RATNAMANI,18574.4
GMDCLTD,18571.2
PINELABS,18518.3
OLAELEC,18372.9
SARDAEN,18359.1
VTL,18340.5
CASTROLIND,18328.4
CIEINDIA,17974.2
CROMPTON,17954.3
JSWCEMENT,17872.2
INDIACEM,17850.1
CHALET,17813.0
SHRIPISTON,17760.9
ONESOURCE,17678.4
TRAVELFOOD,17631.9
SYNGENE,17577.0
AETHER,17518.1
COHANCE,17484.7
PSB,17483.5
ABDL,17453.9
